date,close,day_prev_close,trend_3_day
2020-09-29,112.06438446044922,112.91893005371094,-1
2020-09-30,113.75384521484375,112.06438446044922,-1
2020-10-01,114.71643829345703,113.75384521484375,-1
2020-10-02,111.01338958740234,114.71643829345703,1
2020-10-05,114.43159484863281,111.01338958740234,1
2020-10-06,111.1509017944336,114.43159484863281,1
2020-10-07,113.03679656982422,111.1509017944336,-1
2020-10-08,112.92876434326172,113.03679656982422,1
2020-10-09,114.89325714111328,112.92876434326172,-1
2020-10-12,122.19133758544922,114.89325714111328,1
2020-10-13,118.9499282836914,122.19133758544922,1
2020-10-14,119.038330078125,118.9499282836914,1
2020-10-15,118.56685638427734,119.038330078125,1
2020-10-16,116.90685272216797,118.56685638427734,-1
2020-10-19,113.92083740234375,116.90685272216797,-1
2020-10-20,115.42366790771484,113.92083740234375,-1
2020-10-21,114.79502868652344,115.42366790771484,-1
2020-10-22,113.69491577148438,114.79502868652344,-1
2020-10-23,112.99751281738281,113.69491577148438,-1
2020-10-26,113.00733947753906,112.99751281738281,-1
2020-10-27,114.52981567382812,113.00733947753906,-1
2020-10-28,109.22570037841797,114.52981567382812,1
2020-10-29,113.2725601196289,109.22570037841797,1
2020-10-30,106.92723083496094,113.2725601196289,1
2020-11-02,106.8388442993164,106.92723083496094,-1
2020-11-03,108.47920227050781,106.8388442993164,-1
2020-11-04,112.90911102294922,108.47920227050781,-1
2020-11-05,116.91667175292969,112.90911102294922,1
2020-11-06,116.78385925292969,116.91667175292969,1
2020-11-09,114.45191192626953,116.78385925292969,1
2020-11-10,114.1075439453125,114.45191192626953,-1
2020-11-11,117.57099914550781,114.1075439453125,-1
2020-11-12,117.29550170898438,117.57099914550781,-1
2020-11-13,117.34468841552734,117.29550170898438,-1
2020-11-16,118.36799621582031,117.34468841552734,1
2020-11-17,117.47261047363281,118.36799621582031,1
2020-11-18,116.13445281982422,117.47261047363281,1
2020-11-19,116.73464965820312,116.13445281982422,-1
2020-11-20,115.45552825927734,116.73464965820312,-1
2020-11-23,112.0215835571289,115.45552825927734,-1
2020-11-24,113.32038879394531,112.0215835571289,-1
2020-11-25,114.16658020019531,113.32038879394531,-1
2020-11-27,114.71757507324219,114.16658020019531,1
2020-11-30,117.13806915283203,114.71757507324219,1
2020-12-01,120.7491455078125,117.13806915283203,1
2020-12-02,121.10336303710938,120.7491455078125,1
2020-12-03,120.9655990600586,121.10336303710938,1
2020-12-04,120.28668212890625,120.9655990600586,1
2020-12-07,121.76258850097656,120.28668212890625,-1
2020-12-08,122.38246154785156,121.76258850097656,-1
2020-12-09,119.82421875,122.38246154785156,1
2020-12-10,121.26077270507812,119.82421875,1
2020-12-11,120.44412231445312,121.26077270507812,1
2020-12-14,119.82421875,120.44412231445312,-1
2020-12-15,125.82625579833984,119.82421875,-1
2020-12-16,125.75737762451172,125.82625579833984,-1
2020-12-17,126.63310241699219,125.75737762451172,-1
2020-12-18,124.62586212158203,126.63310241699219,1
2020-12-21,126.1706314086914,124.62586212158203,-1
2020-12-22,129.76202392578125,126.1706314086914,1
2020-12-23,128.85678100585938,129.76202392578125,1
2020-12-24,129.85057067871094,128.85678100585938,1
2020-12-28,134.49478149414062,129.85057067871094,1
2020-12-29,132.7040252685547,134.49478149414062,1
2020-12-30,131.57244873046875,132.7040252685547,1
2020-12-31,130.55902099609375,131.57244873046875,-1
2021-01-04,127.33169555664062,130.55902099609375,-1
2021-01-05,128.90599060058594,127.33169555664062,-1
2021-01-06,124.56682586669922,128.90599060058594,-1
2021-01-07,128.8174285888672,124.56682586669922,-1
2021-01-08,129.92929077148438,128.8174285888672,1
2021-01-11,126.90859985351562,129.92929077148438,1
2021-01-12,126.73149108886719,126.90859985351562,1
2021-01-13,128.7879180908203,126.73149108886719,-1
2021-01-14,126.8397445678711,128.7879180908203,-1
2021-01-15,125.09814453125,126.8397445678711,-1
2021-01-19,125.7770767211914,125.09814453125,-1
2021-01-20,129.9096221923828,125.7770767211914,-1
2021-01-21,134.671875,129.9096221923828,1
2021-01-22,136.83656311035156,134.671875,1
2021-01-25,140.62472534179688,136.83656311035156,1
2021-01-26,140.86085510253906,140.62472534179688,1
2021-01-27,139.77853393554688,140.86085510253906,1
2021-01-28,134.88833618164062,139.77853393554688,1
2021-01-29,129.84072875976562,134.88833618164062,-1
2021-02-01,131.98573303222656,129.84072875976562,-1
2021-02-02,132.8220977783203,131.98573303222656,-1
2021-02-03,131.78895568847656,132.8220977783203,1
2021-02-04,135.1835174560547,131.78895568847656,1
2021-02-05,134.76470947265625,135.1835174560547,1
2021-02-08,134.91256713867188,134.76470947265625,-1
2021-02-09,134.02565002441406,134.91256713867188,1
2021-02-10,133.41473388671875,134.02565002441406,-1
2021-02-11,133.15850830078125,133.41473388671875,-1
2021-02-12,133.39500427246094,133.15850830078125,-1
2021-02-16,131.246826171875,133.39500427246094,-1
