Production Year,Production Date Entered,Operator,County,Town,Field,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Injection Wells,Disposal Wells,Self-use Well,"Oil Produced, bbl","Gas Produced, Mcf","Water produced, bbl","Taxable Gas, Mcf",Purchaser Codes,Location
1987,1988-04-19,J G & A Co-Venture,Allegany,ANDOVER,BEECH HILL-INDEPENDENCE,PENNY & FULMER VALLEY,7,0,0,0,0,0,NO,260,662,11,0,"GK,GX,OR","ANDOVER, NY
(42.156405, -77.795231)"
1987,1988-04-19,"Abarta Oil & Gas, Inc.",Allegany,ANDOVER,BEECH HILL-INDEPENDENCE,PENNY & FULMER VALLEY,4,1,0,0,0,0,NO,457,555,19,0,"GK,GX,OB","ANDOVER, NY
(42.156405, -77.795231)"
1987,1988-04-19,U S Energy Development Corp.,Chautauqua,GERRY,GERRY-CHARLOTTE,BASS ISLAND,2,0,0,0,0,0,NO,1199,21008,2239,0,"GH,GK,OB","GERRY, NY
(42.194749, -79.250394)"
1987,1988-04-19,U S Energy Development Corp.,Chautauqua,CHARLOTTE,GERRY-CHARLOTTE,BASS ISLAND,1,0,1,0,0,0,NO,3850,32813,221,0,"GH,GK,OB","CHARLOTTE, NY
(43.255001, -77.617203)"
1987,1988-04-19,"Universal Resources Holdings, Incorporated",Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,1,0,0,1,0,0,NO,202,1124,0,0,GH,"GERRY, NY
(42.194749, -79.250394)"
1987,1988-04-21,Columbia Gas Transmission Corp.,Chautauqua,CLYMER,CLYMER,SALINA,0,0,1,0,0,0,YES,160,1698,40,0,"GH,OB","CLYMER, NY
(42.02082, -79.629966)"
1987,1988-04-22,Quaker State Corp.,Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,232,8,0,0,0,0,YES,25900,32623,3010,0,OB,"CARROLLTON, NY
(42.023289, -78.628438)"
1987,1988-04-22,Richardson Petroleum Corp.,Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,167,1,14,0,9,0,NO,14306,93334,20535,0,"GK,OB","INDEPENDENCE, NY
(42.088045, -77.781386)"
1987,1988-04-22,Richardson Petroleum Corp.,Steuben,WEST UNION,BEECH HILL-INDEPENDENCE,FULMER VALLEY,16,0,0,0,0,0,NO,1049,5684,109,0,"GK,OB","WEST UNION, NY
(42.094951, -77.725816)"
1987,1988-04-22,"Resource Exploration, Inc.",Chautauqua,NORTH HARMONY,NORTH HARMONY,BASS ISLAND,14,0,12,2,0,0,NO,58274,461542,35000,0,"GH,OB","NORTH HARMONY, NY
(42.094296, -79.374999)"
1987,1988-04-22,Quaker State Corp.,Cattaraugus,OLEAN,FIVE MILE,BRADFORD,9,0,0,0,0,0,YES,313,300,30,0,OB,"OLEAN, NY
(42.077495, -78.429849)"
1987,1988-04-22,"Hugoton Petroleum,  Inc.",Chautauqua,NORTH HARMONY,NORTH HARMONY,ONONDAGA-BASS ISLAND,2,0,1,1,0,0,NO,14408,52693,680,0,"GH,OC","NORTH HARMONY, NY
(42.094296, -79.374999)"
1987,1988-04-22,Quaker State Corp.,Cattaraugus,OLEAN,CHIPMUNK,CHIPMUNK,0,0,0,0,0,0,YES,321,300,30,0,OB,"OLEAN, NY
(42.077495, -78.429849)"
1987,1988-04-25,"Middaugh, Vincent",Allegany,AMITY,CORBIN HILL,SCIO,1,0,1,0,0,0,NO,136,300,0,0,OB,"AMITY, NY
(41.268101, -74.455299)"
1987,1988-04-25,"Chautauqua Energy, Inc.",Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,1,1,1,0,0,0,NO,9991,13206,356,0,"GK,GX,OB","GERRY, NY
(42.194749, -79.250394)"
1987,1988-04-27,"Arrowhead Gas Producers, Inc.",Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,10,0,0,0,0,0,NO,27759,1000,55,0,OB,"ALLEGANY, NY
(42.088061, -78.491258)"
1987,1988-04-27,"Winger, Philip G. & Diane E.",Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,3,0,0,0,0,0,NO,597,280,600,0,OB,"CARROLLTON, NY
(42.023289, -78.628438)"
1987,1988-04-27,"Beaver, Albert H",Cattaraugus,OLEAN,BRADFORD,CHIPMUNK,2,0,6,0,0,0,NO,96,8001,66,0,"GK,OC","OLEAN, NY
(42.077495, -78.429849)"
1987,1988-04-27,"Arrowhead Gas Producers, Inc.",Chautauqua,ELLICOTT,LAKESHORE,MEDINA,0,1,2,1,0,0,NO,40,13729,255,0,"GH,OB","ELLICOTT, NY
(42.734402, -78.731697)"
1987,1988-05-17,Jos J Bucher Producing Co.,Allegany,BOLIVAR,RICHBURG,RICHBURG,37,7,0,0,15,0,NO,3220,200,106210,0,OB,"BOLIVAR, NY
(42.066701, -78.167667)"
1987,1988-05-17,Baker & Odonnell Dev. Co.,Allegany,ALMA,RICHBURG,RICHBURG,13,15,0,0,23,0,NO,11,212,60,0,OB,"ALMA, NY
(42.012207, -78.060759)"
1987,1988-05-17,Estate of  Richard G Smith,Allegany,GENESEE,RICHBURG,RICHBURG,5,1,0,0,0,0,NO,235,395,200,0,OB,"GENESEE, NY
(42.02693, -78.205893)"
1987,1988-05-17,Walker Exploration & Production Corp.,Chautauqua,CLYMER,LAKESHORE,MEDINA,1,0,28,8,0,0,NO,59,169796,259,0,"GH,GK","CLYMER, NY
(42.02082, -79.629966)"
1987,1988-05-25,Frank H. Stephan Oil Group,Cattaraugus,ALLEGANY,BRADFORD,BRADFORD,20,0,0,0,3,0,NO,3945,1000,0,0,OC,"ALLEGANY, NY
(42.088061, -78.491258)"
1987,1988-05-25,F & T Oil,Chautauqua,BUSTI,BUSTI,GLADE,0,0,1,0,0,0,NO,53,50,0,0,OB,"BUSTI, NY
(42.038067, -79.283549)"
1987,1988-07-01,"Bennett, Albert J",Cattaraugus,ALLEGANY,FOUR MILE,BRADFORD,9,1,0,0,0,0,NO,63,24,189,0,OC,"ALLEGANY, NY
(42.088061, -78.491258)"
1987,1988-07-01,Berea Oil & Gas Corp.,Chautauqua,GERRY,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,4,4,11,3,0,0,NO,49350,230811,12610,0,"GH,OB","GERRY, NY
(42.194749, -79.250394)"
1987,1988-07-01,Berea Oil & Gas Corp.,Chautauqua,ELLERY,ELLERY,ONONDAGA-BASS ISLAND,3,0,2,0,0,0,NO,8098,49626,13614,0,"GH,OB","ELLERY, NY
(42.159868, -79.393216)"
1987,1988-07-01,Berea Oil & Gas Corp.,Chautauqua,CHARLOTTE,GERRY-CHARLOTTE,ONONDAGA-BASS ISLAND,2,0,2,0,0,0,NO,1419,28433,0,0,"GH,OB","CHARLOTTE, NY
(43.255001, -77.617203)"
1987,1988-07-01,Berea Oil & Gas Corp.,Allegany,CLARKSVILLE,CLARKSVILLE,CLARKSVILLE,1,0,2,2,0,0,NO,8,500,34,0,OB,"CLARKSVILLE, NY
(42.575802, -73.964401)"
1987,1988-07-12,"Kenco Oil & Gas, Inc.",Cattaraugus,ALLEGANY,FIVE MILE,CHIPMUNK,20,5,5,0,0,0,NO,11079,2944,1595,0,"GX,OB","ALLEGANY, NY
(42.088061, -78.491258)"
1987,1988-07-12,A. J. Lease Account,Cattaraugus,ALLEGANY,FIVE MILE,CHIPMUNK,0,5,0,0,0,0,NO,317,300,150,0,,"ALLEGANY, NY
(42.088061, -78.491258)"
1987,1988-09-16,"Buffington, Richard J. Jr.",Allegany,CLARKSVILLE,RICHBURG,CLARKSVILLE,4,0,0,0,0,0,NO,11,10,20,0,OB,"CLARKSVILLE, NY
(42.575802, -73.964401)"
1987,1988-09-20,"Fitzgerald, Thomas J.",Allegany,CLARKSVILLE,RICHBURG,RICHBURG,0,0,3,2,0,0,NO,8,500,34,0,"GX,OB","CLARKSVILLE, NY
(42.575802, -73.964401)"
1988,1989-03-13,Quaker State Corp.,Cattaraugus,CARROLLTON,BRADFORD,CHIPMUNK,232,8,0,0,0,0,NO,28116,21128,2504,0,OB,"CARROLLTON, NY
(42.023289, -78.628438)"
1988,1989-03-13,Potter Oil Co.,Allegany,INDEPENDENCE,BEECH HILL-INDEPENDENCE,FULMER VALLEY,28,1,0,0,0,0,,869,9085,2252,0,"GK,OB","INDEPENDENCE, NY
(42.088045, -77.781386)"
1988,1989-03-13,B & H Oil Co.,Allegany,BOLIVAR,RICHBURG,RICHBURG,10,0,0,0,0,0,NO,399,1854,220,0,"GK,OB","BOLIVAR, NY
(42.066701, -78.167667)"
1988,1989-03-13,Quaker State Corp.,Cattaraugus,OLEAN,FIVE MILE,BRADFORD,9,0,0,0,0,0,NO,206,172,17,0,OB,"OLEAN, NY
(42.077495, -78.429849)"
