P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,P-JUS-CKGL,T-JUS-CKGL,QGL,class,timestamp
0,0.0,14221467.858333332,116.74043788888889,6142448.041666667,69.57017064444445,3123129.688611111,,0.0,0.0,2017-05-22 01:00:00
1,0.0,14233137.358333332,116.76134047222222,6141768.717222222,69.42554993333333,3121500.4269444444,,0.0,0.0,2017-05-22 02:00:00
2,0.0,14223380.269444445,116.72244372222222,6152984.41,69.44494791111111,3119871.1669444446,,0.0,0.0,2017-05-22 03:00:00
3,0.0,14218446.475,116.71348522222223,6140252.159166667,69.373171825,3118241.9038888887,,0.0,0.0,2017-05-22 04:00:00
4,0.0,14213509.250421112,116.71180555867491,6144555.974452555,69.32168083380124,3116682.053902302,,0.0,0.0,2017-05-22 05:00:00
5,0.0,14229236.058333334,116.72354588888889,6143780.884722223,69.33878528055556,3116376.1022222224,,0.0,0.0,2017-05-22 06:00:00
6,0.0,14227543.947222222,116.77229347222223,6144720.148055555,69.33370014444445,3116559.8175,,0.0,0.0,2017-05-22 07:00:00
7,0.0,14222599.663888888,116.79259416666666,6132215.677222222,69.34411546944445,3116743.533333333,,0.0,0.0,2017-05-22 08:00:00
8,0.0,14226609.327777777,116.77770274999999,6142489.345277778,69.39844260833334,3116927.255,,0.0,0.0,2017-05-22 09:00:00
9,0.0,14222659.494665919,116.73322069062324,6142985.4865244245,69.38092892195397,3117110.0014037057,,0.0,0.0,2017-05-22 10:00:00
10,0.0,14210253.158333333,116.72672972222223,6136212.110833333,69.37049373055555,3117294.6869444447,,0.0,0.0,2017-05-22 11:00:00
11,0.0,14230113.33888889,116.62836927777776,6141959.900555556,69.40146266111111,3117478.4058333333,,0.0,0.0,2017-05-22 12:00:00
12,0.0,14219924.133333333,116.61517252777777,6134172.173888889,69.27409981666666,3117409.9194444446,,0.0,0.0,2017-05-22 13:00:00
13,0.0,14222946.994444445,116.58167808333333,6137546.5575,69.22454938611111,3114934.9019444445,,0.0,0.0,2017-05-22 14:00:00
14,0.0,14207772.078321679,116.564837986014,6125819.986853147,69.17352445314685,3111871.29034965,,0.0,0.0,2017-05-22 15:00:00
15,0.0,14222642.572222222,116.57615258333333,6124939.295833333,69.1351548611111,3108786.325277778,,0.0,0.0,2017-05-22 16:00:00
16,0.0,14225014.83888889,116.59839858333333,6142103.840277778,69.13508546944445,3105712.0380555554,,0.0,0.0,2017-05-22 17:00:00
17,0.0,14211384.33888889,116.60957180555556,6137568.0025,69.12291109166667,3102637.7494444447,,0.0,0.0,2017-05-22 18:00:00
18,0.0,14230864.586111112,116.65773116666666,6144283.866944444,69.17799486666667,3099563.458888889,,0.0,0.0,2017-05-22 19:00:00
19,0.0,14227858.119343892,116.70602347285069,6137233.339932127,69.19319841346153,3096516.5016968325,,0.0,0.0,2017-05-22 20:00:00
20,0.0,14232794.516666668,116.7322345,6140860.889722222,69.17370013611111,3093498.7155555557,,0.0,0.0,2017-05-22 21:00:00
21,0.0,14234092.575,116.69417166666666,6138680.168055556,69.20023200833333,3091308.197222222,,0.0,0.0,2017-05-22 22:00:00
22,0.0,14228760.355555555,116.71360080555556,6137567.045,69.1481080611111,3089316.879722222,,0.0,0.0,2017-05-22 23:00:00
23,0.0,14229676.344444444,116.76160925,6146776.041388889,69.00432763055555,3087325.5575,,0.0,0.0,2017-05-23 00:00:00
24,0.0,14233967.860385925,116.76809895005675,6133157.569523269,69.03164541430192,3085355.2599318954,,0.0,0.0,2017-05-23 01:00:00
25,0.0,14238105.05574136,116.77122519509477,6136170.195652174,69.09159818561874,3083339.600055741,,0.0,0.0,2017-05-23 02:00:00
26,0.0,14234752.144444445,116.76794297222223,6142763.3675,69.1425888361111,3081351.6002777778,,0.0,0.0,2017-05-23 03:00:00
27,0.0,14226979.33888889,116.73574255555556,6136458.553611111,69.17428858333334,3079360.2794444445,,0.0,0.0,2017-05-23 04:00:00
28,0.0,14233245.469444444,116.75138527777779,6152645.247777778,69.17756618333334,3077544.5383333336,,0.0,0.0,2017-05-23 05:00:00
29,0.0,14236857.94075762,116.74793799487324,6155601.643406437,69.14633111933922,3077336.829393335,,0.0,0.0,2017-05-23 06:00:00
30,0.0,14216515.791666666,116.7462485,6145281.056111111,69.09609346111111,3077522.816666667,,0.0,0.0,2017-05-23 07:00:00
31,0.0,14219350.408333333,116.71588641666666,6130814.784722222,69.05155756111111,3077706.5380555554,,0.0,0.0,2017-05-23 08:00:00
32,0.0,14228507.852777777,116.67967066666668,6145631.207222222,69.027751825,3077890.2527777776,,0.0,0.0,2017-05-23 09:00:00
33,0.0,14229306.188888889,116.70761308333334,6147411.487222223,68.922222775,3078073.970833333,,0.0,0.0,2017-05-23 10:00:00
34,0.0,14244327.612114152,116.75167853814793,6138326.163366336,68.94573311589983,3078253.453698311,,0.0,0.0,2017-05-23 11:00:00
35,0.0,14223891.869444445,116.75310258333333,6129794.557222222,68.91451798055556,3078441.406111111,,0.0,0.0,2017-05-23 12:00:00
36,0.0,14249370.083333334,116.76696930555556,6143081.0525,68.95473901388888,3078523.610277778,,0.0,0.0,2017-05-23 13:00:00
37,0.0,14207555.211111112,116.74174780555556,6129167.9925,69.026246575,3078058.25,,0.0,0.0,2017-05-23 14:00:00
38,0.0,14233047.305555556,116.77675872222223,6128488.639166667,69.151452225,3077511.1697222223,,0.0,0.0,2017-05-23 15:00:00
39,0.0,14198593.31974374,116.78767862550961,6124226.436517181,69.32376449330226,3076976.7026790916,,0.0,0.0,2017-05-23 16:00:00
40,0.0,14215469.663888888,116.81730005555555,6136632.819722222,69.41949353055556,3076417.008611111,,0.0,0.0,2017-05-23 17:00:00
41,0.0,14227951.388888888,116.79902261111111,6137926.104166667,69.50036467777778,3075869.928333333,,0.0,0.0,2017-05-23 18:00:00
42,0.0,14216487.977777777,116.80997219444446,6134865.586666667,69.50013801388889,3075322.848333333,,0.0,0.0,2017-05-23 19:00:00
43,0.0,14204328.294444444,116.7937,6131538.21,69.5455924638889,3074775.7675,,0.0,0.0,2017-05-23 20:00:00
44,0.0,14210746.310919186,116.80156335595312,6128292.91764343,69.57334342381246,3073962.1169031463,,0.0,0.0,2017-05-23 21:00:00
45,0.0,14207186.822222222,116.84188122222223,6124542.987222223,69.41007608333334,3071313.0880555557,,0.0,0.0,2017-05-23 22:00:00
46,0.0,14243981.947222222,116.7937,6137982.624444445,69.45346436111112,3068600.503611111,,0.0,0.0,2017-05-23 23:00:00
47,0.0,14205002.230555555,116.80671741666667,6129290.41,69.40561938333333,3065887.9191666665,,0.0,0.0,2017-05-24 00:00:00
48,0.0,14211114.019444445,116.79117088888889,6130156.2630555555,69.41552796388889,3063175.3380555557,,0.0,0.0,2017-05-24 01:00:00
49,0.0,14223470.165034965,116.7937,6131155.32027972,69.49698587692308,3060472.173146853,,0.0,0.0,2017-05-24 02:00:00
50,0.0,14204181.627777778,116.79655027777778,6133055.332777778,69.43538285,3057750.168611111,,0.0,0.0,2017-05-24 03:00:00
51,0.0,14150087.494444445,116.78092322222223,6102278.256944444,69.35738213888888,3055037.5872222222,,0.0,0.0,2017-05-24 04:00:00
52,0.0,14206143.391666668,116.77338238888889,6099257.684444444,69.46635132222222,3052484.0505555556,,0.0,0.0,2017-05-24 05:00:00
53,0.0,14240622.961111112,116.80577055555555,6140592.451111111,69.43912635555556,3050599.3025,,0.0,0.0,2017-05-24 06:00:00
54,0.0,14218883.75609756,116.81469480631276,6139398.05882353,69.37911226685796,3048817.9271162124,,0.0,0.0,2017-05-24 07:00:00
55,0.0,14184816.547222223,116.79367172222223,6129152.970277778,69.43469949166666,3046978.7191666667,,0.0,0.0,2017-05-24 08:00:00
56,0.0,14139604.044444444,116.87211422222222,6066310.332222222,69.37858405,3045168.4325,,0.0,0.0,2017-05-24 09:00:00
57,0.0,14238244.991666667,116.77934344444445,6120292.585833333,69.58918617777778,3043358.1375,,0.0,0.0,2017-05-24 10:00:00
58,0.0,14300578.094444444,116.73950111111112,6188623.515277778,69.57039616944445,3041547.8519444442,,0.0,0.0,2017-05-24 11:00:00
59,0.0,14235653.104895106,116.72398799999999,6195643.368671329,69.41633266293707,3039743.841118881,,0.0,0.0,2017-05-24 12:00:00
60,0.0,14160250.491666667,116.79688388888889,6112696.938611111,69.27409725277778,3038616.331111111,,0.0,0.0,2017-05-24 13:00:00
61,0.0,14213011.975,116.75692616666667,6109906.037222222,69.42208630277777,3040306.7441666666,,0.0,0.0,2017-05-24 14:00:00
62,0.0,14203367.494444445,116.72762555555555,6125389.9975,69.33927242777777,3042298.134166667,,0.0,0.0,2017-05-24 15:00:00
